Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
KAR Govt Quota-Open,STG,Karnataka,"AIMS, Adichunchanagiri, Bellur",RADIO DIAGNOSIS,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,28739(1),40992(1),40992(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"DR BR Ambedkar, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",570,31231(3),26051(3),53342(3),48721(1),-,-,-,28182(2),25783(2),41006(2),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"MRMC, Gulbarga",ORTHOPAEDICS,"₹13,88,744*","₹8,000*",1*,"₹50,00,000*",1038,34161(3),28747(3),44437(3),-,-,-,-,41011(3),30263(3),41011(3),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"BGS IMS, Bangalore",PSYCHIATRY,"₹13,88,744*","₹25,000*",1*,"₹50,00,000*",766,-,-,-,-,-,-,-,15542(1),15542(1),41017(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"DR BR Ambedkar, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",570,37979(2),34359(2),62036(2),72778(1),-,-,-,32354(1),30917(1),41025(1),-,-,-
KAR Govt Quota-Open,SCH,Karnataka,"Gulbarga IMS, Gulbarga",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",873,-,-,-,-,-,-,-,30793(1),31864(1),41047(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Basaveswara, Chitradurga",PSYCHIATRY,"₹13,88,744*","₹5,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,39193(1),24696(1),41114(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Sapthagiri IMS&RC, Bangalore",ANAESTHESIOLOGY,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,41168(3),34736(3),70781(4),-,-,-,-,32664(2),27591(2),41133(3),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Kempegowda IMS, Bangalore",PATHOLOGY,"₹2,07,777*","₹35,000*",1*,"₹50,00,000*",1100,34153(1),34153(1),56564(1),-,-,-,-,31200(1),28659(1),41233(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"BGS IMS, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹25,000*",1*,"₹50,00,000*",766,25490(2),25490(2),41096(2),58680(1),50174(1),-,-,29995(2),26348(2),41312(2),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Srinivasa IMS, Srinivasanagar",PAEDIATRICS,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,-,-,-,-,-,-,-,-,-,41431(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",PSYCHIATRY,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",-,-,-,-,-,-,-,-,32370(1),25903(1),41571(1),-,-,-
KAR Priv Seats-Min.,MEH,Karnataka,"Navodaya Med Coll, Raichur",TBRD,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,85100(1),36745(1),86539(1),-,-,-,-,41635(1),37988(1),37988(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"VIMS (Vydehi), Bangalore",ENT,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,38000(1),25362(1),58641(1),-,-,-,-,29584(1),27522(1),41657(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"East Point College,Bangalore",OPHTHALMOLOGY,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",-,-,-,-,-,-,-,-,36565(1),31930(1),41664(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Kanachur IMS, Mangalore",GENERAL SURGERY,"₹13,88,744*",Info not available,1*,"₹50,00,000*",785,39352(1),35010(1),60366(1),-,-,-,-,35083(1),35083(1),41697(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Kempegowda IMS, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,-,-,-,-,-,-,-,35225(1),31851(1),41895(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Sapthagiri IMS&RC, Bangalore",ENT,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,44429(1),36559(1),72666(1),-,-,-,-,29170(1),29170(1),41898(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"BGS IMS, Bangalore",ENT,"₹13,88,744*","₹25,000*",1*,"₹50,00,000*",766,30178(1),30178(1),55904(1),-,-,-,-,27189(1),27189(1),42044(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Navodaya Med Coll, Raichur",ENT,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,-,-,-,-,-,-,-,29154(1),25037(1),42128(1),-,-,-
KAR Govt Quota-Open,STG,Karnataka,"DR BR Ambedkar, Bangalore",RADIO DIAGNOSIS,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",570,-,-,-,-,-,-,-,25331(1),40389(1),42200(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"SSIMS & RC, Davangere",ENT,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,54977(1),37551(1),100179(1),-,-,-,-,36739(1),41011(1),42416(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"Srinivasa IMS, Srinivasanagar",ANAESTHESIOLOGY,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,-,-,-,-,-,-,-,-,-,42424(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Mysore Med Coll, Mysore",OPHTHALMOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,29079(1),29079(1),47203(1),-,-,-,-,-,-,42529(1),-,-,-
KAR Govt Quota-Open,SCH,Karnataka,"East Point College,Bangalore",PAEDIATRICS,"₹7,83,858*","₹20,000",1*,"₹50,00,000*",-,-,-,-,-,-,-,-,35415(1),34986(1),42624(1),-,-,-
KAR Govt Quota-Open,2BG,Karnataka,"Kidwai Memorial, Bangalore",RADIATION ONCOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",680,-,-,-,-,-,-,-,16434(1),16434(1),42670(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Kidwai Memorial, Bangalore",RADIATION ONCOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",680,57307(1),57307(1),62784(1),-,-,-,-,21225(1),21225(1),42672(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Kidwai Memorial, Bangalore",DMRT,"₹1,24,150*","₹56,250",3*,"₹25,00,000*",680,-,-,68097(1),-,-,-,-,39615(1),30863(1),42708(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"MRMC, Gulbarga",GENERAL SURGERY,"₹7,83,858*","₹8,000*",1*,"₹50,00,000*",1038,-,-,-,-,-,-,-,37383(1),42775(1),42775(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"St John's, Bangalore",PMR,"₹12,05,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,77205(1),-,-,-,-,-,-,42826(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Basaveswara, Chitradurga",ANAESTHESIOLOGY,"₹13,88,744*","₹5,000*",1*,"₹50,00,000*",500,31816(1),30214(1),57075(1),-,-,-,-,32864(1),31233(1),42831(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"KIMS, Hubli",ANAESTHESIOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,33993(1),30167(1),48508(1),-,-,-,-,27237(2),23484(2),42892(3),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"MS Ramaiah, Bangalore",GENERAL MEDICINE,"₹50,40,750*","₹45,000",1*,"₹50,00,000*",1331,14972(2),17129(2),27610(2),-,-,-,-,14144(3),23497(3),42923(3),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"VIMS (Vydehi), Bangalore",PSYCHIATRY,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,73404(1),51117(1),73436(1),-,-,-,-,37342(1),37342(1),42939(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Koppal Inst of MS, Koppal",PHARMACOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,43010(1),43010(1),-,-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"MVJMC&RH, Bangalore",ENT,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,29600(1),28566(1),44313(1),-,-,-,-,25953(1),24411(1),43042(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,27592(1),27592(1),49556(1),-,-,-,-,34747(2),28437(2),43072(2),-,-,-
KAR Govt Quota-Open,2AH,Karnataka,"Sapthagiri IMS&RC, Bangalore",ANAESTHESIOLOGY,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,34659(1),28617(1),43232(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"SMC, Shimoga",EMERGENCY MEDICINE,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,-,-,-,116268(1),-,-,-,43052(1),40579(1),43580(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,45151(1),45603(1),59014(1),-,-,-,-,35521(1),39983(1),43613(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Al-Ameen, Bijapur",OPHTHALMOLOGY,"₹7,83,858*","₹9,000*",1*,"₹50,00,000*",1040,-,-,-,-,-,-,-,36163(1),33547(1),43643(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"AIMS, Adichunchanagiri, Bellur",ANAESTHESIOLOGY,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,28292(1),28292(1),43662(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"MS Ramaiah, Bangalore",RADIATION ONCOLOGY,"₹25,40,750*","₹45,000",1*,"₹50,00,000*",1331,33103(1),33103(1),48412(1),-,-,-,-,42708(1),32864(1),43786(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"BGS IMS, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹25,000*",1*,"₹50,00,000*",766,35392(3),31083(3),61947(3),-,-,-,-,35485(2),29446(2),43789(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"SSIMS & RC, Davangere",ANAESTHESIOLOGY,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,27156(3),26473(3),53414(3),-,-,-,-,30323(3),28608(3),44036(3),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Basaveswara, Chitradurga",ANAESTHESIOLOGY,"₹13,88,744*","₹5,000*",1*,"₹50,00,000*",500,39140(1),35392(1),67426(1),-,-,-,-,35497(1),31852(1),44038(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Bangalore Med Coll, Bangalore",ENT,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,23969(1),21317(1),45119(1),-,-,-,-,31958(2),26983(2),44092(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"AJIMS, Mangalore",PATHOLOGY,"₹2,07,777*","₹30,000",1*,"₹50,00,000*",910,-,-,88754(1),88754(1),-,-,-,38910(1),36959(1),44113(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"BGS IMS, Bangalore",GENERAL SURGERY,"₹7,83,858*","₹25,000*",1*,"₹50,00,000*",766,-,-,-,-,-,-,-,44115(1),35415(1),44115(1),-,-,-
KAR Priv Seats-Min.,MA,Karnataka,"MVJMC&RH, Bangalore",ORTHOPAEDICS,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,55215(2),51254(2),83468(2),-,-,-,-,44125(1),41651(1),41651(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"Basaveswara, Chitradurga",ANAESTHESIOLOGY,"₹7,83,858*","₹5,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,25815(1),25815(1),44152(1),-,-,-
KAR Govt Quota-Open,STG,Karnataka,"ESI, Bangalore",PAEDIATRICS,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,-,-,-,-,-,-,-,23267(1),28739(1),44160(1),-,-,-
KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",DERMATOLOGY,"₹75,15,750*","₹35,000*",1*,"₹50,00,000*",1250,-,-,76024(1),-,-,-,-,30099(1),36782(1),44180(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",PATHOLOGY,"₹3,59,003*","₹35,000*",1*,"₹50,00,000*",1100,37436(1),33205(1),46542(1),-,-,-,-,44251(2),38545(2),43984(2),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"SSIMS & RC, Davangere",ANAESTHESIOLOGY,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,33612(3),29425(3),61149(3),-,-,-,-,35281(3),31914(3),44276(3),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",OBG,"₹40,15,750*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,30441(2),20030(2),44293(2),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"AIMS, Adichunchanagiri, Bellur",OBG,"₹40,15,750*","₹23,750",1*,"₹50,00,000*",1120,28010(1),22420(1),39819(1),-,-,-,-,31048(1),31048(1),44294(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"MS Ramaiah, Bangalore",RADIATION ONCOLOGY,"₹25,40,750*","₹45,000",1*,"₹50,00,000*",1331,37012(1),37012(1),84048(1),-,-,-,-,44349(1),43786(1),44349(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"MS Ramaiah, Bangalore",ORTHOPAEDICS,"₹8,08,858*","₹45,000",1*,"₹50,00,000*",1331,34419(1),34419(1),41698(1),-,-,-,-,40262(1),37383(1),44477(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Akash IMS,Devanhalli,Bangalore",GENERAL SURGERY,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",760,38210(1),33407(1),48421(1),-,-,-,-,33876(1),31506(1),44483(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"KVG Med Coll, Sullia",OPHTHALMOLOGY,"₹7,83,858*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,35110(1),32719(1),44563(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Shri Atal Bihari Vajpayee, BLR",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",956,-,-,54554(1),54554(1),-,-,-,25304(1),25304(1),44714(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"MVJMC&RH, Bangalore",OPHTHALMOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,21503(1),30844(1),44755(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",OPHTHALMOLOGY,"₹30,15,750*","₹23,750",1*,"₹50,00,000*",1120,35571(1),37391(1),94886(1),-,-,-,-,37375(1),31858(1),44756(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Shridevi IMS, Tumkur",PSYCHIATRY,"₹7,83,858*",Info not available*,1*,"₹50,00,000*",750,-,-,-,-,-,-,-,-,-,44791(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Gadag IMS, Gadag",ANAESTHESIOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,37735(1),33993(1),48999(1),-,-,-,-,30051(1),29671(1),44819(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Srinivasa IMS, Srinivasanagar",TBRD,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,-,-,-,-,-,-,-,44819(1),34441(1),44822(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"MRMC, Gulbarga",ANAESTHESIOLOGY,"₹13,88,744*","₹8,000*",1*,"₹50,00,000*",1038,31218(1),28168(1),49150(1),-,-,-,-,32554(2),31195(2),44865(2),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"SMC, Shimoga",OPHTHALMOLOGY,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,36388(1),29919(1),44873(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Basaveswara, Chitradurga",OBG,"₹7,83,858*","₹5,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,-,-,44913(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Al-Ameen, Bijapur",OPHTHALMOLOGY,"₹13,88,744*","₹9,000*",1*,"₹50,00,000*",1040,-,-,-,-,-,-,-,29289(1),26226(1),44941(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"MRMC, Gulbarga",ENT,"₹13,88,744*","₹8,000*",1*,"₹50,00,000*",1038,42875(1),39691(1),80834(1),-,-,-,-,40687(1),32354(1),44993(1),-,-,-
KAR Govt Quota-Open,SCH,Karnataka,"Raichur IMS, Raichur",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,27764(1),27764(1),42031(1),-,-,-,-,24427(1),24427(1),27939(1),-,45003(1),-
KAR Govt Quota-Open,SCG,Karnataka,"JJM Med Coll, Davangere",OPHTHALMOLOGY,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,42072(1),44413(1),50445(1),-,-,-,-,45028(1),38879(1),44104(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Navodaya Med Coll, Raichur",ANAESTHESIOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,32327(1),26783(1),60877(1),-,-,-,-,34043(1),31442(1),45070(1),-,-,-
KAR Govt Quota-Open,P3AG,Karnataka,"MRMC, Gulbarga",RADIO DIAGNOSIS,"₹7,83,858*","₹8,000*",1*,"₹50,00,000*",1038,-,-,-,-,-,-,-,45082(1),45082(1),45082(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"KVG Med Coll, Sullia",OBG,"₹7,83,858*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,32727(1),32727(1),45092(1),-,-,-
KAR Priv Seats-Min.,ME,Karnataka,"SMC, Shimoga",TBRD,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,-,-,-,136836(1),-,-,-,45098(2),39750(2),45098(2),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Al-Ameen, Bijapur",OBG,"₹7,83,858*","₹9,000*",1*,"₹50,00,000*",1040,-,-,-,-,-,-,-,39269(1),32762(1),45126(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"MVJMC&RH, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,35668(1),32378(1),45143(1),-,-,-
KAR Govt Quota-Open,2BG,Karnataka,"Oxford Med Coll, Bangalore",EMERGENCY MEDICINE,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",770,-,-,-,-,-,-,-,29936(1),29936(1),45171(1),-,-,-
KAR Govt Quota-Open,SCH,Karnataka,"VIMS, Bellary",ANAESTHESIOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,-,-,-,-,-,-,-,30823(1),27719(1),45246(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",PAEDIATRICS,"₹40,15,750*","₹23,750",1*,"₹50,00,000*",1120,22389(1),22389(1),45633(1),-,-,-,-,26827(1),34669(1),45254(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"DR BR Ambedkar, Bangalore",ENT,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",570,35236(1),35236(1),65637(1),-,-,-,-,35713(1),28490(1),45349(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Navodaya Med Coll, Raichur",ANAESTHESIOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,-,-,-,-,-,-,-,37311(1),35986(1),45355(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",DERMATOLOGY,"₹50,15,750*","₹23,750",1*,"₹50,00,000*",1120,19792(1),20197(1),48725(1),-,-,-,-,22721(1),30099(1),45360(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Srinivasa IMS, Srinivasanagar",ENT,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,46091(1),39623(1),80163(1),-,-,-,-,30047(1),30047(1),45379(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL SURGERY,"₹7,83,858*","₹29,000*",1*,"₹50,00,000*",1600,-,-,-,-,-,-,-,37635(1),34212(1),45484(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Dharward IMHANS, Dharwad",PSYCHIATRY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",375,-,-,-,-,-,-,-,23735(1),38024(1),45496(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"AIMS, Adichunchanagiri, Bellur",DERMATOLOGY,"₹50,15,750*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,22916(1),33890(1),45555(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Chamrajanagar IMS, Karnataka",OPHTHALMOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",750,-,-,-,-,-,-,-,32964(1),31967(1),45870(1),-,-,-
KAR Priv Seats-Min.,RC2,Karnataka,"St John's, Bangalore",GENERAL SURGERY,"₹12,05,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,-,-,-,-,-,36954(2),36954(2),45895(1),-,-,-
KAR Priv Seats-Min.,ME,Karnataka,"Oxford Med Coll, Bangalore",TBRD,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,31415(2),31415(2),43194(2),-,-,-,-,39747(1),39747(1),45975(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Sapthagiri IMS&RC, Bangalore",DERMATOLOGY,"₹70,41,500*","₹10,000*",1*,"₹50,00,000*",500,28041(1),36282(1),57171(1),-,-,-,-,21344(1),33652(1),45977(1),-,-,-
KAR Priv Seats-Min.,ME,Karnataka,"SMC, Shimoga",GENERAL SURGERY,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,35596(1),34087(1),47748(1),68029(1),-,-,-,38422(1),37981(1),46097(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"ESI, Bangalore",PATHOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,-,-,-,-,-,-,-,25781(1),17372(1),46318(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Kempegowda IMS, Bangalore",ORTHOPAEDICS,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1100,-,-,-,-,-,-,-,34740(1),40262(1),46423(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Oxford Med Coll, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,-,-,-,-,-,-,-,38746(1),35644(1),46453(1),-,-,-
KAR Priv Seats-Min.,MC,Karnataka,"Father Mullers, Mangalore",ENT,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,46730(2),30492(2),38627(1),-,-,-
KAR Priv Seats-Min.,RC2,Karnataka,"St John's, Bangalore",OBG,"₹12,80,025*","₹45,000",1*,"₹5,00,000*",1720,79333(1),79333(1),102516(2),-,-,-,-,42586(2),34544(2),46945(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"SMC, Shimoga",PSYCHIATRY,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,36361(1),23086(1),47182(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",RADIO DIAGNOSIS,"₹50,15,750*","₹23,750",1*,"₹50,00,000*",1120,11813(1),11813(1),32375(1),86569(1),-,-,-,17793(2),17793(2),47251(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL MEDICINE,"₹40,15,750*","₹23,750",1*,"₹50,00,000*",1120,15035(1),15035(1),23619(1),-,-,-,-,18834(2),20144(2),47262(2),-,-,-
KAR Priv Seats-Min.,MM,Karnataka,"Al-Ameen, Bijapur",GENERAL SURGERY,"₹13,88,744*","₹9,000*",1*,"₹50,00,000*",1040,-,-,-,-,-,-,-,41411(3),39787(3),47387(3),-,-,-
KAR Govt Quota-Open,STG,Karnataka,"KIMS, Hubli",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,20420(1),20420(1),46270(1),-,-,-,-,17496(1),23267(1),47391(2),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"SDM College, Dharwad",EMERGENCY MEDICINE,"₹7,83,858*","₹45,000*",1*,"₹50,00,000*",670,-,-,-,-,-,-,-,27196(1),27196(1),47515(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"AJIMS, Mangalore",DTBCD,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",910,46530(1),46530(1),111369(1),-,-,-,-,22679(1),44483(1),47562(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Oxford Med Coll, Bangalore",OPHTHALMOLOGY,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,39433(1),38737(1),82655(1),116659(1),-,-,-,40579(1),35692(1),47576(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Shri Atal Bihari Vajpayee, BLR",SPM,"₹69,150*","₹56,250",3*,"₹50,00,000*",956,42228(1),39262(1),64711(2),189627(1),-,-,-,-,-,47589(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"SSIMS & RC, Davangere",ORTHOPAEDICS,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",1190,-,-,-,-,-,-,-,40537(1),40537(1),47736(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Shridevi IMS, Tumkur",ENT,"₹13,88,744*",Info not available*,1*,"₹50,00,000*",750,-,-,-,-,-,-,-,40653(1),29661(1),47775(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Shridevi IMS, Tumkur",GENERAL SURGERY,"₹13,88,744*",Info not available*,1*,"₹50,00,000*",750,29943(1),35601(1),47507(1),-,-,-,-,35787(1),35787(1),47779(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Shridevi IMS, Tumkur",ANAESTHESIOLOGY,"₹13,88,744*",Info not available*,1*,"₹50,00,000*",750,33457(1),30815(1),57964(1),-,-,-,-,30553(1),31748(1),47830(1),-,-,-
KAR Priv Seats-Min.,RC3,Karnataka,"St John's, Bangalore",PMR,"₹12,05,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,-,-,-,-,-,-,-,47886(1),-,-,-
